route_index_global;name;zona_meteo;zone;difficulty;terreny;distance;elevation_gain;orientation;start_point;end_point;start_altitude;end_altitude
37;Pic d'Envalira i Pic Negre d'Envalira;zona_nord;Grau Roig;COMPLEX;EXIGENT;3.4km;698m;NW+N+SE;Aparcament de les Abelletes (Pas de la Casa), a 2.138 m;Pic d'Envalira (2.815 m) i Pic Negre d'Envalira (2.822 m);2138;2822
38;Pic de Baiau;zona_nord;Valls del Comapedrosa;COMPLEX;EXIGENT;6.0km;1312m;E+NE+S;Edificis de Prats Sobirans, a 1.560 m;Pic de Baiau, a 2886 m;1560;2886
39;Pic de Banyell per Rialb;zona_nord;Vall de Rialb;COMPLEX;EXIGENT;9.0km;916m;W+NW+S;Pàrquing de Sorteny, a 1780m;Pic de Banyell, a 2702m;1780;2702
40;Pic de Banyell per;zona_nord;Sorteny;CHALLENGING;COMPLEX;8.9km;913m;S+W+NW;Pàrquing de Sorteny, a 1780m;Pic de Banyell, a 2702m;1780;2702
41;Pic de Besalí;zona_nord;Vall de Rialb;COMPLEX;EXIGENT;4.9km;853m;N;Pàrquing de Sorteny, a 1780m;Pic de Besalí, a 2.639m;1780;2639
42;Pic de Besalí;zona_nord;El Castellar;CHALLENGING;COMPLEX;4.9km;788m;NW;Pont del Castellar, a 1.854m;Pic de Besalí, a 2.639m;1854;2639
43;Pic de Carroi;zona_centre;Cortals de Sispony;CHALLENGING;COMPLEX;9.8km;984m;N;Començament de la carretera dels Cortals de Sispony (zona eixamplada), a 1.340 m;Pic de Carroi, a 2.332 m;1340;2332
44;Pic de Cataperdís;zona_nord;Arcalís;COMPLEX;EXIGENT;6.5km;754m;N;Final carretera d'Arcalís, a 2.090 m;Pic de Cataperdís, a 2.805 m;2090;2805
45;Pic de Comapedrosa;zona_nord;Valls del Comapedrosa;COMPLEX;EXIGENT;8.1km;1373m;E+NE+S;Edificis de Prats Sobirans, a 1.560 m;Pic de Comapedrosa, a 2942 m;1560;2942
46;Pic de Creussans;zona_nord;Arcalís;COMPLEX;EXIGENT;5.3km;606m;E+S;Final carretera d'Arcalís, a 2.090 m;Pic de Creussans, a 2.682 m;2090;2682
47;Pic de l'Àliga;zona_nord;Grau Roig;COMPLEX;EXIGENT;4.8km;709m;N+NE+SW;Aparcament de Grau Roig, a 2.100 m;Pic de l'Àliga, a 2.820 m;2100;2820
48;Pic de l'Aspra;zona_centre;Cortals d'Encamp;CHALLENGING;COMPLEX;7.0km;802m;W;Carretera dels Cortals d’Encamp (km 6, a 1.887 m). Estacionarem el vehicle al costat de la carretera, en un lloc que no molesti;Pic de l’Aspra , a 2697 m;1887;2697
49;Pic de l'Estany Mort;zona_nord;Ransol;COMPLEX;EXIGENT;3.7km;854m;S;Final carretera, a 1.953m;Pic de l'Estany Mort, a 2.716m;1953;2716
