route_index_global;name;zone;difficulty;distance;elevation_gain;orientation;start_point;end_point;start_altitude;end_altitude
12;Cap de la Tosa d';Entor;SIMPLE;2.5km;559m;S;Borda del Marticella, a 1.940m;Cap de la Tosa d'Entor, a 2.506m;1940;2506
13;Cap dels Agols;Cortals d'Encamp;CHALLENGING;5.6km;1048m;O+N+SO;Borda de les Pardines, a 1.618 m;Cap dels Agols, a 2.673 m;1618;2673
14;Circ dels Colells;Grau Roig;SIMPLE;3.1km;361m;NO+N;Aparcament de Grau Roig, a 2.100 m;Circ dels Colells, a 2.470 m;2100;2470
15;Circular al pas Alt de Ríbuls;Grau Roig;COMPLEX;10.5km;842m;N+S+NE+SO;Aparcament de Grau Roig, a 2.100 m;Pas Alt de Ríbuls, a 2.640 m;2100;2640
16;Circular de Creussans i Tristaina;Arcalís;COMPLEX;8.2km;760m;S+SE+E;Aparcament d'Arcalís, a 1.940 m;Punta de Peyreguils, a 2.702 m;1940;2702
17;Circular del Baser Negre i el Port del Rat;Arcalís;COMPLEX;6.2km;595m;NE+E;Final carretera d'Arcalís, a 2.090 m;Port del Rat, a 2.594 m;2090;2594
18;Circular dels Colells i la portella de Joan Antoni;Grau Roig;COMPLEX;6.6km;743m;NO+S+SE;Aparcament de Grau Roig, a 2.100 m;Portella de Joan Antoni, 2.671 m;2100;2671
19;Circular dels Pessons;Grau Roig;SIMPLE;6.1km;467m;N+E;Aparcament de Grau Roig, a 2.100 m;Circ dels Pessons, a 2.570 m;2100;2570
20;Circular dels Pessons i Montmalús;Grau Roig;COMPLEX;7.7km;716m;N+S+E;Aparcament de Grau Roig, a 2.100 m;Collada de Montmalús, a 2.704 m;2100;2704
21;Circular refugi de Fontverd - refugi de Perafita;Valls de Madriu, Perafita i Claror;CHALLENGING;12.7km;1197m;S+O+N+E;Encreuament de la carretera CS200 Amb la carretera CS101, a 1.232 m;Encreuament de la carretera CS200 Amb la carretera CS101, a 1.232 m;1232;1232
22;Coll d’Arenes;Montaup i Vall del Riu;COMPLEX;3.0km;634m;S+E+O;Pàrquing de la carretera de Montaup, situat a l’encreuament de la carretera que baixa a les bordes de Mereig, a 1.920 m (a 150 m del km 8).;Coll d’Arenes, a 2539 m;1920;2539
23;Collada d’Entinyola;Cortals d'Encamp;COMPLEX;8.4km;777m;N+O;Carretera dels Cortals d’Encamp (km 6, a 1.887 m). Estacionarem el vehicle al costat de la carretera, en un lloc que no molesti;Collada d’Entinyola, a 2663 m;1887;2663
24;Collada de Ferreroles;Sorteny;CHALLENGING;5.3km;755m;N+NE;Pàrquing de Sorteny, a 1780m;Collada de Ferreroles, a 2533m;1780;2533
25;Collada de la Coma;Montaup i Vall del Riu;COMPLEX;7.8km;809m;SE+S;Els Plans, a 1.825 m (Ransol). Combinació de dos vehicles.;Collada de la Coma, a 2640 m;1825;2640
